Facility ID,Facility Name,State,Region,Hospital Ownership,Hospital Type,Experience_Star,Readmission_Rate,HAI_SIR_Avg,MSPB,Quality,Value_Score,Focus_Flag
230273,DETROIT RECEIVING HOSPITAL,MI,Midwest,Proprietary,Acute Care Hospitals,1.0,15.7,0.5844000000000001,0.95,52.85175689941186,55.633428315170384,Low value (bottom 20%)
100243,HCA FLORIDA BRANDON HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,16.7,0.5895,0.99,55.106821494998236,55.66345605555377,Low value (bottom 20%)
250085,MARION GENERAL HOSPITAL,MS,South,Government - Local,Acute Care Hospitals,,15.4,2.351,1.04,57.93055346101644,55.702455250977344,Low value (bottom 20%)
310003,PALISADES MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.0,0.7330000000000001,1.03,57.455637661488964,55.78217248688249,Low value (bottom 20%)
330151,ST JAMES HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,3.0,15.8,,0.95,53.026315789473685,55.81717451523546,Low value (bottom 20%)
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,TN,South,Government - Hospital District or Authority,Acute Care Hospitals,2.0,15.8,0.7872000000000001,1.04,58.06037299552606,55.82728172646736,Low value (bottom 20%)
230151,BEAUMONT HOSPITAL - FARMINGTON HILLS,MI,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,1.0,14.6,0.817,1.01,56.50706278590459,55.947586916737215,Low value (bottom 20%)
250042,NORTHWEST MISSISSISSIPPI REGIONAL MEDICAL CENTER,MS,South,Proprietary,Acute Care Hospitals,,15.3,,0.94,52.63157894736841,55.991041433370654,Low value (bottom 20%)
140292,UCHICAGO MEDICINE ADVENTHEALTH GLENOAKS,IL,Midwest,Voluntary non-profit - Other,Acute Care Hospitals,2.0,15.2,0.8256666666666667,1.08,60.498584091556495,56.01720749218194,Low value (bottom 20%)
260105,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,MO,Midwest,Voluntary non-profit - Church,Acute Care Hospitals,2.0,15.6,0.683,1.06,59.46136832051476,56.09563049105166,Low value (bottom 20%)
310086,JEFFERSON STRATFORD HOSPITAL,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,3.0,17.5,0.6853999999999999,1.03,57.78263710853065,56.09964767818509,Low value (bottom 20%)
330009,BRONXCARE HOSPITAL CENTER,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.7,0.8363999999999999,0.96,53.86568139546574,56.11008478694348,Low value (bottom 20%)
310050,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,NJ,Northeast,Proprietary,Acute Care Hospitals,2.0,16.2,0.4866,1.03,57.81707133162419,56.13307896274193,Low value (bottom 20%)
310019,ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,Northeast,Voluntary non-profit - Church,Acute Care Hospitals,2.0,15.4,0.39919999999999994,1.1,61.76519378675916,56.150176169781055,Low value (bottom 20%)
100264,HCA FLORIDA OAK HILL HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,16.4,0.2992,1.03,57.88191826270548,56.19603714825775,Low value (bottom 20%)
230195,Henry Ford Health Warren Hospital,MI,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.1,0.5418000000000001,0.99,55.697481526164985,56.2600823496616,Low value (bottom 20%)
190111,WILLIS KNIGHTON MEDICAL CENTER,LA,South,Voluntary non-profit - Private,Acute Care Hospitals,3.0,15.3,0.9938333333333333,1.17,65.88129827912665,56.3088019479715,Low value (bottom 20%)
330234,WESTCHESTER MEDICAL CENTER,NY,Northeast,Voluntary non-profit - Other,Acute Care Hospitals,2.0,14.7,0.9608333333333334,1.1,62.01209805794334,56.37463459813031,Low value (bottom 20%)
160089,OTTUMWA REGIONAL HEALTH CENTER,IA,Midwest,Proprietary,Acute Care Hospitals,1.0,14.6,0.835,1.0,56.41657869602373,56.41657869602373,Low value (bottom 20%)
230270,BEAUMONT HOSPITAL - TAYLOR,MI,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.9,1.30775,1.05,59.390991806162965,56.56284933920282,Low value (bottom 20%)
450422,BAYLOR SCOTT AND WHITE MEDICAL CENTER UPTOWN,TX,South,Proprietary,Acute Care Hospitals,,14.7,,1.07,60.52631578947369,56.56665027053616,Low value (bottom 20%)
370212,OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,OK,South,Physician,Acute Care Hospitals,,15.3,,0.93,52.63157894736841,56.59309564233162,Low value (bottom 20%)
670136,BAYLOR SCOTT & WHITE MEDICAL CENTER- AUSTIN,TX,South,Voluntary non-profit - Private,Acute Care Hospitals,,15.3,,0.93,52.63157894736841,56.59309564233162,Low value (bottom 20%)
140191,INGALLS MEMORIAL HOSPITAL,IL,Midwest,Physician,Acute Care Hospitals,2.0,16.1,0.4776000000000001,1.03,58.30090986779268,56.60282511436183,Low value (bottom 20%)
100275,WELLINGTON REGIONAL MEDICAL CENTER,FL,South,Proprietary,Acute Care Hospitals,2.0,16.4,0.5496,1.0,56.62318403458503,56.62318403458503,Low value (bottom 20%)
460011,CASTLEVIEW HOSPITAL,UT,West,Proprietary,Acute Care Hospitals,2.0,15.0,1.657,1.01,57.19675262655205,56.630448145101035,Low value (bottom 20%)
330169,MOUNT SINAI BETH ISRAEL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.4,0.2098,1.03,58.33132257578043,56.632352015320805,Low value (bottom 20%)
450352,HUNT REGIONAL MEDICAL CENTER,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,3.0,16.2,1.4766,1.05,59.507113054843416,56.673441004612776,Low value (bottom 20%)
340116,FRYE REGIONAL MEDICAL CENTER,NC,South,Proprietary,Acute Care Hospitals,2.0,15.6,0.7864,1.04,58.941587493088015,56.67460335873847,Low value (bottom 20%)
330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.4,0.42533333333333334,1.01,57.247859381021804,56.6810488921008,Low value (bottom 20%)
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.3,0.73375,0.95,53.85537626300709,56.68986975053378,Low value (bottom 20%)
220063,LOWELL GENERAL HOSPITAL,MA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.1,1.0166,0.98,55.59141406524907,56.72593271964191,Low value (bottom 20%)
110036,SAVANNAH HEALTH SERVICES LLC DBA MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,GA,South,Voluntary non-profit - Other,Acute Care Hospitals,2.0,15.7,0.5738333333333333,1.05,59.57154107810118,56.73480102676302,Low value (bottom 20%)
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,NY,Northeast,Government - State,Acute Care Hospitals,2.0,15.9,0.7356,1.02,57.881164228623135,56.7462394398266,Low value (bottom 20%)
190300,ST CHARLES SURGICAL HOSPITAL,LA,South,Physician,Acute Care Hospitals,,14.9,,1.02,57.89473684210525,56.7595459236326,Low value (bottom 20%)
370158,PURCELL MUNICIPAL HOSPITAL,OK,South,Government - Local,Acute Care Hospitals,,14.9,,1.02,57.89473684210525,56.7595459236326,Low value (bottom 20%)
250117,HIGHLAND COMMUNITY  HOSPITAL,MS,South,Government - Local,Acute Care Hospitals,,15.8,1.3235,1.11,63.04667470969687,56.79880604477195,Low value (bottom 20%)
450107,LAS PALMAS MEDICAL CENTER A CAMPUS OF LPDS HEALTHC,TX,South,Proprietary,Acute Care Hospitals,2.0,15.5,0.508,1.07,60.7796712411401,56.80343106648607,Low value (bottom 20%)
